Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00101,8.67689E+14,08:3A:8D:2A:F6:68,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:31:17,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00102,8.67689E+14,08:3A:8D:2A:F9:54,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:21:06,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00103,8.67689E+14,08:3A:8D:2A:F7:60,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:01:57,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00104,8.67689E+14,08:3A:8D:2A:F8:84,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:07:32,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00105,8.67689E+14,08:3A:8D:2A:F8:58,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:10:42,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00106,8.67689E+14,08:3A:8D:2A:F8:34,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:06:33,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00107,8.67689E+14,08:3A:8D:2A:F5:FC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:59:42,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00108,8.67689E+14,D4:D4:DA:20:3D:54,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:00:01,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00109,8.67689E+14,08:3A:8D:2A:F9:A0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:14:32,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00110,8.67689E+14,08:3A:8D:2A:F8:74,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:18:20,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00111,8.67689E+14,D4:D4:DA:20:20:0C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:30:40,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00112,8.67689E+14,08:3A:8D:2A:F6:1C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:48:45,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00113,8.67689E+14,08:3A:8D:2A:8B:28,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:03:41,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00114,8.67689E+14,08:3A:8D:2A:F7:C0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:13:11,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00115,8.67689E+14,08:3A:8D:2A:F9:58,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:21:37,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00116,8.67689E+14,D4:D4:DA:20:3E:48,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:08:57,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00117,8.67689E+14,08:3A:8D:2A:F7:B0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:01:15,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00118,8.67689E+14,08:3A:8D:2A:71:64,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:24:43,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00119,8.67689E+14,D4:D4:DA:20:3D:AC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:52:48,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00120,8.67689E+14,08:3A:8D:2A:F6:6C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:32:39,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00121,8.67689E+14,08:3A:8D:2A:FD:74,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:16:36,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00122,8.67689E+14,D4:D4:DA:20:3D:2C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:09:26,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
